2024-04-12 11:34:30,869 INFO    StreamThr :17452 [internal.py:wandb_internal():86] W&B internal server running at pid: 17452, started at: 2024-04-12 11:34:30.869940
2024-04-12 11:34:30,878 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: status
2024-04-12 11:34:30,878 INFO    WriterThread:17452 [datastore.py:open_for_write():87] open: d:\2024\AIO\Outside-Content\40-Days-Code\40-Days-Basic-Python\Day-38\wandb\run-20240412_113424-s5nz6lq4\run-s5nz6lq4.wandb
2024-04-12 11:34:30,878 DEBUG   SenderThread:17452 [sender.py:send():379] send: header
2024-04-12 11:34:30,878 DEBUG   SenderThread:17452 [sender.py:send():379] send: run
2024-04-12 11:34:32,146 INFO    SenderThread:17452 [dir_watcher.py:__init__():211] watching files in: d:\2024\AIO\Outside-Content\40-Days-Code\40-Days-Basic-Python\Day-38\wandb\run-20240412_113424-s5nz6lq4\files
2024-04-12 11:34:32,149 INFO    SenderThread:17452 [sender.py:_start_run_threads():1124] run started: s5nz6lq4 with start time 1712896470.730926
2024-04-12 11:34:32,159 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: check_version
2024-04-12 11:34:32,159 DEBUG   SenderThread:17452 [sender.py:send_request():406] send_request: check_version
2024-04-12 11:34:32,809 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: run_start
2024-04-12 11:34:32,825 DEBUG   HandlerThread:17452 [system_info.py:__init__():26] System info init
2024-04-12 11:34:32,825 DEBUG   HandlerThread:17452 [system_info.py:__init__():41] System info init done
2024-04-12 11:34:32,825 INFO    HandlerThread:17452 [system_monitor.py:start():194] Starting system monitor
2024-04-12 11:34:32,825 INFO    SystemMonitor:17452 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-12 11:34:32,825 INFO    HandlerThread:17452 [system_monitor.py:probe():214] Collecting system info
2024-04-12 11:34:32,825 DEBUG   HandlerThread:17452 [system_info.py:probe():150] Probing system
2024-04-12 11:34:32,827 INFO    SystemMonitor:17452 [interfaces.py:start():190] Started cpu monitoring
2024-04-12 11:34:32,827 INFO    SystemMonitor:17452 [interfaces.py:start():190] Started disk monitoring
2024-04-12 11:34:32,827 INFO    SystemMonitor:17452 [interfaces.py:start():190] Started memory monitoring
2024-04-12 11:34:32,840 INFO    SystemMonitor:17452 [interfaces.py:start():190] Started network monitoring
2024-04-12 11:34:32,847 DEBUG   HandlerThread:17452 [system_info.py:_probe_git():135] Probing git
2024-04-12 11:34:32,926 DEBUG   HandlerThread:17452 [system_info.py:_probe_git():143] Probing git done
2024-04-12 11:34:32,926 DEBUG   HandlerThread:17452 [system_info.py:probe():198] Probing system done
2024-04-12 11:34:32,926 DEBUG   HandlerThread:17452 [system_monitor.py:probe():223] {'os': 'Windows-11-10.0.22631-SP0', 'python': '3.12.2', 'heartbeatAt': '2024-04-12T04:34:32.827140', 'startedAt': '2024-04-12T04:34:24.288830', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '<python with no main file>', 'codePathLocal': None, 'git': {'remote': 'https://github.com/nam-hoang-le/40-Days-Basic-Python.git', 'commit': '9e1b6175e896adb902110b03586a110f4007aa02'}, 'email': '==', 'root': 'D:/2024/AIO/Outside-Content/40-Days-Code/40-Days-Basic-Python', 'host': 'HoangNam', 'username': 'Nam', 'executable': 'c:\\Users\\Nam\\anaconda3\\envs\\Nam\\python.exe', 'cpu_count': 14, 'cpu_count_logical': 20, 'cpu_freq': {'current': 2400.0, 'min': 0.0, 'max': 2400.0}, 'cpu_freq_per_core': [{'current': 2400.0, 'min': 0.0, 'max': 2400.0}], 'disk': {}, 'memory': {'total': 31.692092895507812}}
2024-04-12 11:34:32,926 INFO    HandlerThread:17452 [system_monitor.py:probe():224] Finished collecting system info
2024-04-12 11:34:32,926 INFO    HandlerThread:17452 [system_monitor.py:probe():227] Publishing system info
2024-04-12 11:34:32,926 DEBUG   HandlerThread:17452 [system_info.py:_save_conda():207] Saving list of conda packages installed into the current environment
2024-04-12 11:34:33,144 INFO    Thread-32 :17452 [dir_watcher.py:_on_file_created():271] file/dir created: d:\2024\AIO\Outside-Content\40-Days-Code\40-Days-Basic-Python\Day-38\wandb\run-20240412_113424-s5nz6lq4\files\conda-environment.yaml
2024-04-12 11:34:44,698 DEBUG   HandlerThread:17452 [system_info.py:_save_conda():222] Saving conda packages done
2024-04-12 11:34:44,698 INFO    HandlerThread:17452 [system_monitor.py:probe():229] Finished publishing system info
2024-04-12 11:34:44,698 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: status_report
2024-04-12 11:34:44,698 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: keepalive
2024-04-12 11:34:44,700 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: status_report
2024-04-12 11:34:44,700 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: keepalive
2024-04-12 11:34:44,700 DEBUG   SenderThread:17452 [sender.py:send():379] send: files
2024-04-12 11:34:44,700 INFO    SenderThread:17452 [sender.py:_save_file():1390] saving file wandb-metadata.json with policy now
